code,date,value
ATRCT,1/22/2009,0
AVBLS,1/22/2009,0.0002
BCDDC,1/22/2009,8548
BCDDE,1/22/2009,1963
BCDDM,1/22/2009,0
BCDDW,1/22/2009,795
BCDDY,1/22/2009,0
BLCHS,1/22/2009,0
CPTRA,1/22/2009,0
CPTRV,1/22/2009,2233.3333
DIFF,1/22/2009,1
ETRAV,1/22/2009,150
ETRVU,1/22/2009,0
HRATE,1/22/2009,0
MIOPM,1/22/2009,-2147483648
MIREV,1/22/2009,0
MKPRU,1/22/2009,0
MKTCP,1/22/2009,0
MWNTD,1/22/2009,0
MWNUS,1/22/2009,2
MWTRV,1/22/2009,0
NADDU,1/22/2009,68
NETDF,1/22/2009,0
NTRAN,1/22/2009,68
NTRAT,1/22/2009,1449
NTRBL,1/22/2009,1
NTREP,1/22/2009,68
TOTBC,1/22/2009,66050
TOUTV,1/22/2009,3500
TRFEE,1/22/2009,0
TRFUS,1/22/2009,0
TRVOU,1/22/2009,0
TVTVR,1/22/2009,0
ATRCT,1/23/2009,0
AVBLS,1/23/2009,0.0002
BCDDC,1/23/2009,9243
BCDDE,1/23/2009,695
BCDDM,1/23/2009,0
BCDDW,1/23/2009,0
BCDDY,1/23/2009,0
BLCHS,1/23/2009,0.31
CPTRA,1/23/2009,0
CPTRV,1/23/2009,1243.75
DIFF,1/23/2009,1
ETRAV,1/23/2009,800
ETRVU,1/23/2009,0
HRATE,1/23/2009,0
MIOPM,1/23/2009,-2147483648
MIREV,1/23/2009,0
MKPRU,1/23/2009,0
MKTCP,1/23/2009,0
MWNTD,1/23/2009,0
MWNUS,1/23/2009,2
MWTRV,1/23/2009,0
NADDU,1/23/2009,86
NETDF,1/23/2009,0
NTRAN,1/23/2009,86
NTRAT,1/23/2009,1412
NTRBL,1/23/2009,1.0238
NTREP,1/23/2009,201
TOTBC,1/23/2009,81150
TOUTV,1/23/2009,10750
TRFEE,1/23/2009,0
TRFUS,1/23/2009,0
TRVOU,1/23/2009,0
TVTVR,1/23/2009,0
ATRCT,1/24/2009,0
AVBLS,1/24/2009,0.0002
BCDDC,1/24/2009,12537
BCDDE,1/24/2009,3294
BCDDM,1/24/2009,0
BCDDW,1/24/2009,408
BCDDY,1/24/2009,0
BLCHS,1/24/2009,0
CPTRA,1/24/2009,0
CPTRV,1/24/2009,19400
DIFF,1/24/2009,1
ETRAV,1/24/2009,50
ETRVU,1/24/2009,0
HRATE,1/24/2009,0
MIOPM,1/24/2009,-2147483648
MIREV,1/24/2009,0
MKPRU,1/24/2009,0
MKTCP,1/24/2009,0
MWNTD,1/24/2009,0
MWNUS,1/24/2009,2
MWTRV,1/24/2009,0
NADDU,1/24/2009,195
NETDF,1/24/2009,0
NTRAN,1/24/2009,195
NTRAT,1/24/2009,1845
NTRBL,1/24/2009,1
NTREP,1/24/2009,202
TOTBC,1/24/2009,90850
TOUTV,1/24/2009,10550
TRFEE,1/24/2009,0
TRFUS,1/24/2009,0
TRVOU,1/24/2009,0
TVTVR,1/24/2009,0
ATRCT,1/25/2009,0
AVBLS,1/25/2009,0.0002
BCDDC,1/25/2009,12625
BCDDE,1/25/2009,88
BCDDM,1/25/2009,0
BCDDW,1/25/2009,0
BCDDY,1/25/2009,0
BLCHS,1/25/2009,0
CPTRA,1/25/2009,0
CPTRV,1/25/2009,0
DIFF,1/25/2009,1
ETRAV,1/25/2009,0
ETRVU,1/25/2009,0
HRATE,1/25/2009,0
MIOPM,1/25/2009,-2147483648
MIREV,1/25/2009,0
MKPRU,1/25/2009,0
MKTCP,1/25/2009,0
MWNTD,1/25/2009,0
MWNUS,1/25/2009,2
MWTRV,1/25/2009,0
NADDU,1/25/2009,116
NETDF,1/25/2009,0
NTRAN,1/25/2009,116
NTRAT,1/25/2009,1961
NTRBL,1/25/2009,1
NTREP,1/25/2009,116
TOTBC,1/25/2009,88050
TOUTV,1/25/2009,5800
TRFEE,1/25/2009,0
TRFUS,1/25/2009,0
TRVOU,1/25/2009,0
TVTVR,1/25/2009,0
ATRCT,1/26/2009,0
AVBLS,1/26/2009,0.0002
BCDDC,1/26/2009,12625
BCDDE,1/26/2009,0
BCDDM,1/26/2009,0
BCDDW,1/26/2009,0
BCDDY,1/26/2009,0
BLCHS,1/26/2009,0.4154
CPTRA,1/26/2009,0
CPTRV,1/26/2009,447.8261
DIFF,1/26/2009,1
ETRAV,1/26/2009,1150
ETRVU,1/26/2009,0
HRATE,1/26/2009,0
MIOPM,1/26/2009,-2147483648
MIREV,1/26/2009,0
MKPRU,1/26/2009,0
MKTCP,1/26/2009,0
MWNTD,1/26/2009,0
MWNUS,1/26/2009,2
MWTRV,1/26/2009,0
NADDU,1/26/2009,97
NETDF,1/26/2009,0
NTRAN,1/26/2009,97
NTRAT,1/26/2009,1892
NTRBL,1/26/2009,1.0104
NTREP,1/26/2009,105
TOTBC,1/26/2009,101800
TOUTV,1/26/2009,6300
TRFEE,1/26/2009,0
TRFUS,1/26/2009,0
TRVOU,1/26/2009,0
TVTVR,1/26/2009,0
ATRCT,1/27/2009,0
AVBLS,1/27/2009,0.0002
BCDDC,1/27/2009,15953
BCDDE,1/27/2009,3328
BCDDM,1/27/2009,0
BCDDW,1/27/2009,0
BCDDY,1/27/2009,0
BLCHS,1/27/2009,0
CPTRA,1/27/2009,0
CPTRV,1/27/2009,0
DIFF,1/27/2009,1
ETRAV,1/27/2009,0
ETRVU,1/27/2009,0
HRATE,1/27/2009,0
MIOPM,1/27/2009,-2147483648
MIREV,1/27/2009,0
MKPRU,1/27/2009,0
MKTCP,1/27/2009,0
MWNTD,1/27/2009,0
MWNUS,1/27/2009,2
MWTRV,1/27/2009,0
NADDU,1/27/2009,103
NETDF,1/27/2009,0
NTRAN,1/27/2009,103
NTRAT,1/27/2009,2169
NTRBL,1/27/2009,1
NTREP,1/27/2009,98
TOTBC,1/27/2009,106950
TOUTV,1/27/2009,5000
TRFEE,1/27/2009,0
TRFUS,1/27/2009,0
TRVOU,1/27/2009,0
TVTVR,1/27/2009,0
ATRCT,1/28/2009,0
AVBLS,1/28/2009,0.0002
BCDDC,1/28/2009,15953
BCDDE,1/28/2009,0
BCDDM,1/28/2009,0
BCDDW,1/28/2009,0
BCDDY,1/28/2009,0
BLCHS,1/28/2009,0
CPTRA,1/28/2009,0
CPTRV,1/28/2009,0
DIFF,1/28/2009,1
ETRAV,1/28/2009,0
ETRVU,1/28/2009,0
HRATE,1/28/2009,0
MIOPM,1/28/2009,-2147483648
MIREV,1/28/2009,0
MKPRU,1/28/2009,0
MKTCP,1/28/2009,0
MWNTD,1/28/2009,0
MWNUS,1/28/2009,2
MWTRV,1/28/2009,0
NADDU,1/28/2009,122
NETDF,1/28/2009,0
NTRAN,1/28/2009,122
NTRAT,1/28/2009,2291
NTRBL,1/28/2009,1
NTREP,1/28/2009,122
TOTBC,1/28/2009,113050
TOUTV,1/28/2009,6100
TRFEE,1/28/2009,0
TRFUS,1/28/2009,0
TRVOU,1/28/2009,0
TVTVR,1/28/2009,0
ATRCT,1/29/2009,0
AVBLS,1/29/2009,0.0002
BCDDC,1/29/2009,15953
BCDDE,1/29/2009,0
BCDDM,1/29/2009,0
BCDDW,1/29/2009,0
BCDDY,1/29/2009,0
BLCHS,1/29/2009,0.4839
CPTRA,1/29/2009,0
